2.3759 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
8.4886 	WARNING 	Couldn't measure a consistent frame rate!
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

8.4890 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x7f9f9a9792e0>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x7f9f418f49a0>, multiSample=False, name='window1', numSamples=2, pos=[432.0, 279.25], screen=0, size=array([3456, 2234]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
8.4892 	EXP 	window1: mouseVisible = True
8.4892 	EXP 	window1: mouseVisible = True
8.4893 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
8.4893 	EXP 	window1: recordFrameIntervals = False
8.5801 	EXP 	window1: recordFrameIntervals = True
9.4103 	WARNING 	Couldn't measure a consistent frame rate!
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

12.6920 	EXP 	Created grid_lines = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, image='grid.png', interpolate=True, mask=None, maskParams=None, name='grid_lines', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([0.5, 0.5]), texRes=128.0, units='height', win=Window(...))
12.9709 	EXP 	Created target_reward = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, image='coffee.png', interpolate=True, mask=None, maskParams=None, name='target_reward', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([0.15, 0.15]), texRes=128.0, units='height', win=Window(...))
12.9782 	EXP 	Imported conditions.xlsx as conditions, 12 conditions, 2 params
12.9788 	EXP 	Created sequence: random, trialTypes=12, nReps=1, seed=None
12.9790 	EXP 	New trial (rep=0, index=0): {'square': 3, 'location': [0.2, 0.2]}
12.9932 	WARNING 	t of last frame was 3583.29ms (=1/0)
12.9932 	EXP 	grid_lines: autoDraw = True
13.4649 	EXP 	target_reward: autoDraw = True
14.4646 	EXP 	target_reward: autoDraw = False
14.9886 	EXP 	grid_lines: autoDraw = False
16.4333 	EXP 	New trial (rep=0, index=1): {'square': 6, 'location': [0.2, 0]}
16.4440 	DATA 	Keypress: space
16.4483 	WARNING 	t of last frame was 37.45ms (=1/26)
16.4483 	EXP 	grid_lines: autoDraw = False
16.4483 	EXP 	target_reward: autoDraw = False
16.4483 	EXP 	grid_lines: autoDraw = True
16.9252 	EXP 	target_reward: autoDraw = True
17.9278 	EXP 	target_reward: autoDraw = False
18.0740 	EXP 	New trial (rep=0, index=2): {'square': 4, 'location': [-0.2, 0]}
18.0796 	DATA 	Keypress: space
18.0834 	EXP 	grid_lines: autoDraw = False
18.0834 	EXP 	target_reward: autoDraw = False
18.0834 	EXP 	grid_lines: autoDraw = True
18.5660 	EXP 	target_reward: autoDraw = True
19.2748 	EXP 	New trial (rep=0, index=3): {'square': 4, 'location': [-0.2, 0]}
19.2776 	DATA 	Keypress: space
19.2807 	EXP 	grid_lines: autoDraw = False
19.2807 	EXP 	target_reward: autoDraw = False
19.2807 	EXP 	grid_lines: autoDraw = True
19.7687 	EXP 	target_reward: autoDraw = True
20.2829 	EXP 	New trial (rep=0, index=4): {'square': 9, 'location': [0.2, -0.2]}
20.2857 	DATA 	Keypress: space
20.2887 	EXP 	grid_lines: autoDraw = False
20.2887 	EXP 	target_reward: autoDraw = False
20.2887 	EXP 	grid_lines: autoDraw = True
20.7801 	EXP 	target_reward: autoDraw = True
21.2269 	DATA 	Keypress: space
