2.4798 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
8.6136 	WARNING 	Couldn't measure a consistent frame rate!
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

8.6145 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x7fc959473340>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x7fc8e4a14220>, multiSample=False, name='window1', numSamples=2, pos=[432.0, 279.25], screen=0, size=array([3456, 2234]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
8.6150 	EXP 	window1: mouseVisible = True
8.6151 	EXP 	window1: mouseVisible = True
8.6152 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
8.6152 	EXP 	window1: recordFrameIntervals = False
8.7006 	EXP 	window1: recordFrameIntervals = True
9.5254 	WARNING 	Couldn't measure a consistent frame rate!
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

13.0190 	EXP 	Created grid_lines = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, image='grid.png', interpolate=True, mask=None, maskParams=None, name='grid_lines', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([0.6, 0.6]), texRes=128.0, units='height', win=Window(...))
13.2912 	EXP 	Created target_reward = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, image='coffee.png', interpolate=True, mask=None, maskParams=None, name='target_reward', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([0.12, 0.12]), texRes=128.0, units='height', win=Window(...))
13.3000 	EXP 	Imported conditions.xlsx as conditions, 12 conditions, 2 params
13.3006 	EXP 	Created sequence: random, trialTypes=12, nReps=1, seed=None
13.3008 	EXP 	New trial (rep=0, index=0): {'square': 9, 'location': [0.2, -0.2]}
13.3124 	WARNING 	t of last frame was 3787.22ms (=1/0)
13.3124 	EXP 	grid_lines: autoDraw = True
13.7811 	EXP 	target_reward: autoDraw = True
14.7833 	EXP 	target_reward: autoDraw = False
15.5713 	DATA 	Keypress: right
15.5754 	WARNING 	t of last frame was 51.84ms (=1/19)
15.5770 	EXP 	New trial (rep=0, index=1): {'square': 4, 'location': [-0.2, 0]}
15.5805 	EXP 	grid_lines: autoDraw = False
15.5805 	EXP 	target_reward: autoDraw = False
15.5805 	EXP 	grid_lines: autoDraw = True
16.0816 	EXP 	target_reward: autoDraw = True
17.0691 	EXP 	target_reward: autoDraw = False
17.6347 	EXP 	New trial (rep=0, index=2): {'square': 2, 'location': [0, 0.2]}
17.6400 	DATA 	Keypress: right
17.6431 	EXP 	grid_lines: autoDraw = False
17.6431 	EXP 	target_reward: autoDraw = False
17.6431 	EXP 	grid_lines: autoDraw = True
18.1340 	EXP 	target_reward: autoDraw = True
19.1222 	EXP 	target_reward: autoDraw = False
20.7014 	EXP 	New trial (rep=0, index=3): {'square': 5, 'location': [0, 0]}
20.7040 	DATA 	Keypress: space
20.7075 	EXP 	grid_lines: autoDraw = False
20.7075 	EXP 	target_reward: autoDraw = False
20.7075 	EXP 	grid_lines: autoDraw = True
21.2005 	EXP 	target_reward: autoDraw = True
22.1957 	EXP 	target_reward: autoDraw = False
23.1593 	EXP 	New trial (rep=0, index=4): {'square': 7, 'location': [-0.2, -0.2]}
23.1609 	DATA 	Keypress: space
23.1641 	EXP 	grid_lines: autoDraw = False
23.1641 	EXP 	target_reward: autoDraw = False
23.1641 	EXP 	grid_lines: autoDraw = True
23.6552 	EXP 	target_reward: autoDraw = True
24.4606 	EXP 	New trial (rep=0, index=5): {'square': 4, 'location': [-0.2, 0]}
24.4624 	DATA 	Keypress: space
24.4657 	EXP 	grid_lines: autoDraw = False
24.4657 	EXP 	target_reward: autoDraw = False
24.4657 	EXP 	grid_lines: autoDraw = True
24.9586 	EXP 	target_reward: autoDraw = True
25.6747 	EXP 	New trial (rep=0, index=6): {'square': 7, 'location': [-0.2, -0.2]}
25.6764 	DATA 	Keypress: space
25.6803 	EXP 	grid_lines: autoDraw = False
25.6803 	EXP 	target_reward: autoDraw = False
